Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0387,Turtwig,Grass,4,318,55,68,64,45,55,31
0388,Grotle,Grass,4,405,75,89,85,55,65,36
0389,Torterra,Grass Ground,4,525,95,109,105,75,85,56
0390,Chimchar,Fire,4,309,44,58,44,58,44,61
0391,Monferno,Fire Fighting,4,405,64,78,52,78,52,81
0392,Infernape,Fire Fighting,4,534,76,104,71,104,71,108
0393,Piplup,Water,4,314,53,51,53,61,56,40
0394,Prinplup,Water,4,405,64,66,68,81,76,50
0395,Empoleon,Water Steel,4,530,84,86,88,111,101,60
0396,Starly,Normal Flying,4,245,40,55,30,30,30,60
0397,Staravia,Normal Flying,4,340,55,75,50,40,40,80
0398,Staraptor,Normal Flying,4,485,85,120,70,50,60,100
0399,Bidoof,Normal,4,250,59,45,40,35,40,31
0400,Bibarel,Normal Water,4,410,79,85,60,55,60,71
0401,Kricketot,Bug,4,194,37,25,41,25,41,25
0402,Kricketune,Bug,4,384,77,85,51,55,51,65
0403,Shinx,Electric,4,263,45,65,34,40,34,45
0404,Luxio,Electric,4,363,60,85,49,60,49,60
0405,Luxray,Electric,4,523,80,120,79,95,79,70
0406,Budew,Grass Poison,4,280,40,30,35,50,70,55
0407,Roserade,Grass Poison,4,515,60,70,65,125,105,90
0408,Cranidos,Rock,4,350,67,125,40,30,30,58
0409,Rampardos,Rock,4,495,97,165,60,65,50,58
0410,Shieldon,Rock Steel,4,350,30,42,118,42,88,30
0411,Bastiodon,Rock Steel,4,495,60,52,168,47,138,30
0412,Burmy Plant Cloak,Bug,4,224,40,29,45,29,45,36
0412,Burmy Sandy Cloak,Bug,4,224,40,29,45,29,45,36
0412,Burmy Trash Cloak,Bug,4,224,40,29,45,29,45,36
0413,Wormadam Plant Cloak,Bug Grass,4,424,60,59,85,79,105,36
0413,Wormadam Sandy Cloak,Bug Ground,4,424,60,79,105,59,85,36
0413,Wormadam Trash Cloak,Bug Steel,4,424,60,69,95,69,95,36
0414,Mothim,Bug Flying,4,424,70,94,50,94,50,66
0415,Combee,Bug Flying,4,244,30,30,42,30,42,70
0416,Vespiquen,Bug Flying,4,474,70,80,102,80,102,40
0417,Pachirisu,Electric,4,405,60,45,70,45,90,95
0418,Buizel,Water,4,330,55,65,35,60,30,85
0419,Floatzel,Water,4,495,85,105,55,85,50,115
0420,Cherubi,Grass,4,275,45,35,45,62,53,35
0421,Cherrim,Grass,4,450,70,60,70,87,78,85
0422,Shellos,Water,4,325,76,48,48,57,62,34
0423,Gastrodon,Water Ground,4,475,111,83,68,92,82,39
0424,Ambipom,Normal,4,482,75,100,66,60,66,115
0425,Drifloon,Ghost Flying,4,348,90,50,34,60,44,70
0426,Drifblim,Ghost Flying,4,498,150,80,44,90,54,80
0427,Buneary,Normal,4,350,55,66,44,44,56,85
0428,Lopunny,Normal,4,480,65,76,84,54,96,105
0428,Lopunny Mega Lopunny,Normal Fighting,4,580,65,136,94,54,96,135
0429,Mismagius,Ghost,4,495,60,60,60,105,105,105
0430,Honchkrow,Dark Flying,4,505,100,125,52,105,52,71
0431,Glameow,Normal,4,310,49,55,42,42,37,85
0432,Purugly,Normal,4,452,71,82,64,64,59,112
0433,Chingling,Psychic,4,285,45,30,50,65,50,45
0434,Stunky,Poison Dark,4,329,63,63,47,41,41,74
0435,Skuntank,Poison Dark,4,479,103,93,67,71,61,84
0436,Bronzor,Steel Psychic,4,300,57,24,86,24,86,23
0437,Bronzong,Steel Psychic,4,500,67,89,116,79,116,33
0438,Bonsly,Rock,4,290,50,80,95,10,45,10
0439,Mime Jr.,Psychic Fairy,4,310,20,25,45,70,90,60
0440,Happiny,Normal,4,220,100,5,5,15,65,30
0441,Chatot,Normal Flying,4,411,76,65,45,92,42,91
0442,Spiritomb,Ghost Dark,4,485,50,92,108,92,108,35
0443,Gible,Dragon Ground,4,300,58,70,45,40,45,42
0444,Gabite,Dragon Ground,4,410,68,90,65,50,55,82
0445,Garchomp,Dragon Ground,4,600,108,130,95,80,85,102
0445,Garchomp Mega Garchomp,Dragon Ground,4,700,108,170,115,120,95,92
0446,Munchlax,Normal,4,390,135,85,40,40,85,5
0447,Riolu,Fighting,4,285,40,70,40,35,40,60
0448,Lucario,Fighting Steel,4,525,70,110,70,115,70,90
0448,Lucario Mega Lucario,Fighting Steel,4,625,70,145,88,140,70,112
0449,Hippopotas,Ground,4,330,68,72,78,38,42,32
0450,Hippowdon,Ground,4,525,108,112,118,68,72,47
0451,Skorupi,Poison Bug,4,330,40,50,90,30,55,65
0452,Drapion,Poison Dark,4,500,70,90,110,60,75,95
0453,Croagunk,Poison Fighting,4,300,48,61,40,61,40,50
0454,Toxicroak,Poison Fighting,4,490,83,106,65,86,65,85
0455,Carnivine,Grass,4,454,74,100,72,90,72,46
0456,Finneon,Water,4,330,49,49,56,49,61,66
0457,Lumineon,Water,4,460,69,69,76,69,86,91
0458,Mantyke,Water Flying,4,345,45,20,50,60,120,50
0459,Snover,Grass Ice,4,334,60,62,50,62,60,40
0460,Abomasnow,Grass Ice,4,494,90,92,75,92,85,60
0460,Abomasnow Mega Abomasnow,Grass Ice,4,594,90,132,105,132,105,30
0461,Weavile,Dark Ice,4,510,70,120,65,45,85,125
0462,Magnezone,Electric Steel,4,535,70,70,115,130,90,60
0463,Lickilicky,Normal,4,515,110,85,95,80,95,50
0464,Rhyperior,Ground Rock,4,535,115,140,130,55,55,40
0465,Tangrowth,Grass,4,535,100,100,125,110,50,50
0466,Electivire,Electric,4,540,75,123,67,95,85,95
