Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0810,Grookey,Grass,8,310,50,65,50,40,40,65
0811,Thwackey,Grass,8,420,70,85,70,55,60,80
0812,Rillaboom,Grass,8,530,100,125,90,60,70,85
0813,Scorbunny,Fire,8,310,50,71,40,40,40,69
0814,Raboot,Fire,8,420,65,86,60,55,60,94
0815,Cinderace,Fire,8,530,80,116,75,65,75,119
0816,Sobble,Water,8,310,50,40,40,70,40,70
0817,Drizzile,Water,8,420,65,60,55,95,55,90
0818,Inteleon,Water,8,530,70,85,65,125,65,120
0819,Skwovet,Normal,8,275,70,55,55,35,35,25
0820,Greedent,Normal,8,460,120,95,95,55,75,20
0821,Rookidee,Flying,8,245,38,47,35,33,35,57
0822,Corvisquire,Flying,8,365,68,67,55,43,55,77
0823,Corviknight,Flying Steel,8,495,98,87,105,53,85,67
0824,Blipbug,Bug,8,180,25,20,20,25,45,45
0825,Dottler,Bug Psychic,8,335,50,35,80,50,90,30
0826,Orbeetle,Bug Psychic,8,505,60,45,110,80,120,90
0827,Nickit,Dark,8,245,40,28,28,47,52,50
0828,Thievul,Dark,8,455,70,58,58,87,92,90
0829,Gossifleur,Grass,8,250,40,40,60,40,60,10
0830,Eldegoss,Grass,8,460,60,50,90,80,120,60
0831,Wooloo,Normal,8,270,42,40,55,40,45,48
0832,Dubwool,Normal,8,490,72,80,100,60,90,88
0833,Chewtle,Water,8,284,50,64,50,38,38,44
0834,Drednaw,Water Rock,8,485,90,115,90,48,68,74
0835,Yamper,Electric,8,270,59,45,50,40,50,26
0836,Boltund,Electric,8,490,69,90,60,90,60,121
0837,Rolycoly,Rock,8,240,30,40,50,40,50,30
0838,Carkol,Rock Fire,8,410,80,60,90,60,70,50
0839,Coalossal,Rock Fire,8,510,110,80,120,80,90,30
0840,Applin,Grass Dragon,8,260,40,40,80,40,40,20
0841,Flapple,Grass Dragon,8,485,70,110,80,95,60,70
0842,Appletun,Grass Dragon,8,485,110,85,80,100,80,30
0843,Silicobra,Ground,8,315,52,57,75,35,50,46
0844,Sandaconda,Ground,8,510,72,107,125,65,70,71
0845,Cramorant,Flying Water,8,475,70,85,55,85,95,85
0846,Arrokuda,Water,8,280,41,63,40,40,30,66
0847,Barraskewda,Water,8,490,61,123,60,60,50,136
0848,Toxel,Electric Poison,8,242,40,38,35,54,35,40
0849,Toxtricity Amped Form,Electric Poison,8,502,75,98,70,114,70,75
0849,Toxtricity Low Key Form,Electric Poison,8,502,75,98,70,114,70,75
0850,Sizzlipede,Fire Bug,8,305,50,65,45,50,50,45
0851,Centiskorch,Fire Bug,8,525,100,115,65,90,90,65
