Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0722,Rowlet,Grass Flying,7,320,68,55,55,50,50,42
0723,Dartrix,Grass Flying,7,420,78,75,75,70,70,52
0724,Decidueye,Grass Ghost,7,530,78,107,75,100,100,70
0724,Decidueye Hisuian Decidueye,Grass Fighting,7,530,88,112,80,95,95,60
0725,Litten,Fire,7,320,45,65,40,60,40,70
0726,Torracat,Fire,7,420,65,85,50,80,50,90
0727,Incineroar,Fire Dark,7,530,95,115,90,80,90,60
0728,Popplio,Water,7,320,50,54,54,66,56,40
0729,Brionne,Water,7,420,60,69,69,91,81,50
0730,Primarina,Water Fairy,7,530,80,74,74,126,116,60
0731,Pikipek,Normal Flying,7,265,35,75,30,30,30,65
0732,Trumbeak,Normal Flying,7,355,55,85,50,40,50,75
0733,Toucannon,Normal Flying,7,485,80,120,75,75,75,60
0734,Yungoos,Normal,7,253,48,70,30,30,30,45
0735,Gumshoos,Normal,7,418,88,110,60,55,60,45
0736,Grubbin,Bug,7,300,47,62,45,55,45,46
0737,Charjabug,Bug Electric,7,400,57,82,95,55,75,36
0738,Vikavolt,Bug Electric,7,500,77,70,90,145,75,43
0739,Crabrawler,Fighting,7,338,47,82,57,42,47,63
0740,Crabominable,Fighting Ice,7,478,97,132,77,62,67,43
0741,Oricorio Baile Style,Fire Flying,7,476,75,70,70,98,70,93
0741,Oricorio Pom-Pom Style,Electric Flying,7,476,75,70,70,98,70,93
0741,Oricorio Pa'u Style,Psychic Flying,7,476,75,70,70,98,70,93
0741,Oricorio Sensu Style,Ghost Flying,7,476,75,70,70,98,70,93
0742,Cutiefly,Bug Fairy,7,304,40,45,40,55,40,84
0743,Ribombee,Bug Fairy,7,464,60,55,60,95,70,124
0744,Rockruff,Rock,7,280,45,65,40,30,40,60
0744,Rockruff Own Tempo Rockruff,Rock,7,280,45,65,40,30,40,60
0745,Lycanroc Midday Form,Rock,7,487,75,115,65,55,65,112
0745,Lycanroc Midnight Form,Rock,7,487,85,115,75,55,75,82
0745,Lycanroc Dusk Form,Rock,7,487,75,117,65,55,65,110
0746,Wishiwashi Solo Form,Water,7,175,45,20,20,25,25,40
0746,Wishiwashi School Form,Water,7,620,45,140,130,140,135,30
0747,Mareanie,Poison Water,7,305,50,53,62,43,52,45
0748,Toxapex,Poison Water,7,495,50,63,152,53,142,35
0749,Mudbray,Ground,7,385,70,100,70,45,55,45
0750,Mudsdale,Ground,7,500,100,125,100,55,85,35
0751,Dewpider,Water Bug,7,269,38,40,52,40,72,27
0752,Araquanid,Water Bug,7,454,68,70,92,50,132,42
0753,Fomantis,Grass,7,250,40,55,35,50,35,35
0754,Lurantis,Grass,7,480,70,105,90,80,90,45
0755,Morelull,Grass Fairy,7,285,40,35,55,65,75,15
0756,Shiinotic,Grass Fairy,7,405,60,45,80,90,100,30
0757,Salandit,Poison Fire,7,320,48,44,40,71,40,77
0758,Salazzle,Poison Fire,7,480,68,64,60,111,60,117
0759,Stufful,Normal Fighting,7,340,70,75,50,45,50,50
0760,Bewear,Normal Fighting,7,500,120,125,80,55,60,60
0761,Bounsweet,Grass,7,210,42,30,38,30,38,32
0762,Steenee,Grass,7,290,52,40,48,40,48,62
0763,Tsareena,Grass,7,510,72,120,98,50,98,72
0764,Comfey,Fairy,7,485,51,52,90,82,110,100
0765,Oranguru,Normal Psychic,7,490,90,60,80,90,110,60
0766,Passimian,Fighting,7,490,100,120,90,40,60,80
0767,Wimpod,Bug Water,7,230,25,35,40,20,30,80
0768,Golisopod,Bug Water,7,530,75,125,140,60,90,40
0769,Sandygast,Ghost Ground,7,320,55,55,80,70,45,15
0770,Palossand,Ghost Ground,7,480,85,75,110,100,75,35
0771,Pyukumuku,Water,7,410,55,60,130,30,130,5
0772,Type: Null,Normal,7,534,95,95,95,95,95,59
0773,Silvally,Normal,7,570,95,95,95,95,95,95
0774,Minior Meteor Form,Rock Flying,7,440,60,60,100,60,100,60
0774,Minior Core Form,Rock Flying,7,500,60,100,60,100,60,120
0775,Komala,Normal,7,480,65,115,65,75,95,65
0776,Turtonator,Fire Dragon,7,485,60,78,135,91,85,36
0777,Togedemaru,Electric Steel,7,435,65,98,63,40,73,96
0778,Mimikyu,Ghost Fairy,7,476,55,90,80,50,105,96
0779,Bruxish,Water Psychic,7,475,68,105,70,70,70,92
0780,Drampa,Normal Dragon,7,485,78,60,85,135,91,36
0781,Dhelmise,Ghost Grass,7,517,70,131,100,86,90,40
0782,Jangmo-o,Dragon,7,300,45,55,65,45,45,45
0783,Hakamo-o,Dragon Fighting,7,420,55,75,90,65,70,65
0784,Kommo-o,Dragon Fighting,7,600,75,110,125,100,105,85
0785,Tapu Koko,Electric Fairy,7,570,70,115,85,95,75,130
0786,Tapu Lele,Psychic Fairy,7,570,70,85,75,130,115,95
0787,Tapu Bulu,Grass Fairy,7,570,70,130,115,85,95,75
0788,Tapu Fini,Water Fairy,7,570,70,75,115,95,130,85
0789,Cosmog,Psychic,7,200,43,29,31,29,31,37
0790,Cosmoem,Psychic,7,400,43,29,131,29,131,37
0791,Solgaleo,Psychic Steel,7,680,137,137,107,113,89,97
0792,Lunala,Psychic Ghost,7,680,137,113,89,137,107,97
0793,Nihilego,Rock Poison,7,570,109,53,47,127,131,103
0794,Buzzwole,Bug Fighting,7,570,107,139,139,53,53,79
0795,Pheromosa,Bug Fighting,7,570,71,137,37,137,37,151
0796,Xurkitree,Electric,7,570,83,89,71,173,71,83
0797,Celesteela,Steel Flying,7,570,97,101,103,107,101,61
0798,Kartana,Grass Steel,7,570,59,181,131,59,31,109
0799,Guzzlord,Dark Dragon,7,570,223,101,53,97,53,43
0800,Necrozma,Psychic,7,600,97,107,101,127,89,79
0800,Necrozma Dusk Mane Necrozma,Psychic Steel,7,680,97,157,127,113,109,77
0800,Necrozma Dawn Wings Necrozma,Psychic Ghost,7,680,97,113,109,157,127,77
0800,Necrozma Ultra Necrozma,Psychic Dragon,7,754,97,167,97,167,97,129
0801,Magearna,Steel Fairy,7,600,80,95,115,130,115,65
0802,Marshadow,Fighting Ghost,7,600,90,125,80,90,90,125
0803,Poipole,Poison,7,420,67,73,67,73,67,73
0804,Naganadel,Poison Dragon,7,540,73,73,73,127,73,121
0805,Stakataka,Rock Steel,7,570,61,131,211,53,101,13
0806,Blacephalon,Fire Ghost,7,570,53,127,53,151,79,107
0807,Zeraora,Electric,7,600,88,112,75,102,80,143
0808,Meltan,Steel,7,300,46,65,65,55,35,34
0809,Melmetal,Steel,7,600,135,143,143,80,65,34
