Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0252,Treecko,Grass,3,310,40,45,35,65,55,70
0253,Grovyle,Grass,3,405,50,65,45,85,65,95
0254,Sceptile,Grass,3,530,70,85,65,105,85,120
0254,Sceptile Mega Sceptile,Grass Dragon,3,630,70,110,75,145,85,145
0255,Torchic,Fire,3,310,45,60,40,70,50,45
0256,Combusken,Fire Fighting,3,405,60,85,60,85,60,55
0257,Blaziken,Fire Fighting,3,530,80,120,70,110,70,80
0257,Blaziken Mega Blaziken,Fire Fighting,3,630,80,160,80,130,80,100
0258,Mudkip,Water,3,310,50,70,50,50,50,40
0259,Marshtomp,Water Ground,3,405,70,85,70,60,70,50
0260,Swampert,Water Ground,3,535,100,110,90,85,90,60
0260,Swampert Mega Swampert,Water Ground,3,635,100,150,110,95,110,70
0261,Poochyena,Dark,3,220,35,55,35,30,30,35
0262,Mightyena,Dark,3,420,70,90,70,60,60,70
0263,Zigzagoon,Normal,3,240,38,30,41,30,41,60
0263,Zigzagoon Galarian Zigzagoon,Dark Normal,3,240,38,30,41,30,41,60
0264,Linoone,Normal,3,420,78,70,61,50,61,100
0264,Linoone Galarian Linoone,Dark Normal,3,420,78,70,61,50,61,100
0265,Wurmple,Bug,3,195,45,45,35,20,30,20
0266,Silcoon,Bug,3,205,50,35,55,25,25,15
0267,Beautifly,Bug Flying,3,395,60,70,50,100,50,65
0268,Cascoon,Bug,3,205,50,35,55,25,25,15
0269,Dustox,Bug Poison,3,385,60,50,70,50,90,65
0270,Lotad,Water Grass,3,220,40,30,30,40,50,30
0271,Lombre,Water Grass,3,340,60,50,50,60,70,50
0272,Ludicolo,Water Grass,3,480,80,70,70,90,100,70
0273,Seedot,Grass,3,220,40,40,50,30,30,30
0274,Nuzleaf,Grass Dark,3,340,70,70,40,60,40,60
0275,Shiftry,Grass Dark,3,480,90,100,60,90,60,80
0276,Taillow,Normal Flying,3,270,40,55,30,30,30,85
0277,Swellow,Normal Flying,3,455,60,85,60,75,50,125
0278,Wingull,Water Flying,3,270,40,30,30,55,30,85
0279,Pelipper,Water Flying,3,440,60,50,100,95,70,65
0280,Ralts,Psychic Fairy,3,198,28,25,25,45,35,40
0281,Kirlia,Psychic Fairy,3,278,38,35,35,65,55,50
0282,Gardevoir,Psychic Fairy,3,518,68,65,65,125,115,80
0282,Gardevoir Mega Gardevoir,Psychic Fairy,3,618,68,85,65,165,135,100
0283,Surskit,Bug Water,3,269,40,30,32,50,52,65
0284,Masquerain,Bug Flying,3,454,70,60,62,100,82,80
0285,Shroomish,Grass,3,295,60,40,60,40,60,35
0286,Breloom,Grass Fighting,3,460,60,130,80,60,60,70
0287,Slakoth,Normal,3,280,60,60,60,35,35,30
0288,Vigoroth,Normal,3,440,80,80,80,55,55,90
0289,Slaking,Normal,3,670,150,160,100,95,65,100
0290,Nincada,Bug Ground,3,266,31,45,90,30,30,40
0291,Ninjask,Bug Flying,3,456,61,90,45,50,50,160
0292,Shedinja,Bug Ghost,3,236,1,90,45,30,30,40
0293,Whismur,Normal,3,240,64,51,23,51,23,28
0294,Loudred,Normal,3,360,84,71,43,71,43,48
0295,Exploud,Normal,3,490,104,91,63,91,73,68
0296,Makuhita,Fighting,3,237,72,60,30,20,30,25
0297,Hariyama,Fighting,3,474,144,120,60,40,60,50
0298,Azurill,Normal Fairy,3,190,50,20,40,20,40,20
0299,Nosepass,Rock,3,375,30,45,135,45,90,30
