Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0152,Chikorita,Grass,2,318,45,49,65,49,65,45
0153,Bayleef,Grass,2,405,60,62,80,63,80,60
0154,Meganium,Grass,2,525,80,82,100,83,100,80
0155,Cyndaquil,Fire,2,309,39,52,43,60,50,65
0156,Quilava,Fire,2,405,58,64,58,80,65,80
0157,Typhlosion,Fire,2,534,78,84,78,109,85,100
0157,Typhlosion Hisuian Typhlosion,Fire Ghost,2,534,73,84,78,119,85,95
0158,Totodile,Water,2,314,50,65,64,44,48,43
0159,Croconaw,Water,2,405,65,80,80,59,63,58
0160,Feraligatr,Water,2,530,85,105,100,79,83,78
0161,Sentret,Normal,2,215,35,46,34,35,45,20
0162,Furret,Normal,2,415,85,76,64,45,55,90
0163,Hoothoot,Normal Flying,2,262,60,30,30,36,56,50
0164,Noctowl,Normal Flying,2,452,100,50,50,86,96,70
0165,Ledyba,Bug Flying,2,265,40,20,30,40,80,55
0166,Ledian,Bug Flying,2,390,55,35,50,55,110,85
0167,Spinarak,Bug Poison,2,250,40,60,40,40,40,30
0168,Ariados,Bug Poison,2,400,70,90,70,60,70,40
0169,Crobat,Poison Flying,2,535,85,90,80,70,80,130
0170,Chinchou,Water Electric,2,330,75,38,38,56,56,67
0171,Lanturn,Water Electric,2,460,125,58,58,76,76,67
0172,Pichu,Electric,2,205,20,40,15,35,35,60
0173,Cleffa,Fairy,2,218,50,25,28,45,55,15
0174,Igglybuff,Normal Fairy,2,210,90,30,15,40,20,15
0175,Togepi,Fairy,2,245,35,20,65,40,65,20
0176,Togetic,Fairy Flying,2,405,55,40,85,80,105,40
0177,Natu,Psychic Flying,2,320,40,50,45,70,45,70
0178,Xatu,Psychic Flying,2,470,65,75,70,95,70,95
0179,Mareep,Electric,2,280,55,40,40,65,45,35
0180,Flaaffy,Electric,2,365,70,55,55,80,60,45
0181,Ampharos,Electric,2,510,90,75,85,115,90,55
0181,Ampharos Mega Ampharos,Electric Dragon,2,610,90,95,105,165,110,45
0182,Bellossom,Grass,2,490,75,80,95,90,100,50
0183,Marill,Water Fairy,2,250,70,20,50,20,50,40
0184,Azumarill,Water Fairy,2,420,100,50,80,60,80,50
0185,Sudowoodo,Rock,2,410,70,100,115,30,65,30
0186,Politoed,Water,2,500,90,75,75,90,100,70
0187,Hoppip,Grass Flying,2,250,35,35,40,35,55,50
0188,Skiploom,Grass Flying,2,340,55,45,50,45,65,80
0189,Jumpluff,Grass Flying,2,460,75,55,70,55,95,110
0190,Aipom,Normal,2,360,55,70,55,40,55,85
0191,Sunkern,Grass,2,180,30,30,30,30,30,30
0192,Sunflora,Grass,2,425,75,75,55,105,85,30
0193,Yanma,Bug Flying,2,390,65,65,45,75,45,95
0194,Wooper,Water Ground,2,210,55,45,45,25,25,15
0194,Wooper Paldean Wooper,Poison Ground,2,210,55,45,45,25,25,15
0195,Quagsire,Water Ground,2,430,95,85,85,65,65,35
0196,Espeon,Psychic,2,525,65,65,60,130,95,110
0197,Umbreon,Dark,2,525,95,65,110,60,130,65
0198,Murkrow,Dark Flying,2,405,60,85,42,85,42,91
0199,Slowking,Water Psychic,2,490,95,75,80,100,110,30
0199,Slowking Galarian Slowking,Poison Psychic,2,490,95,65,80,110,110,30
0200,Misdreavus,Ghost,2,435,60,60,60,85,85,85
0201,Unown,Psychic,2,336,48,72,48,72,48,48
0202,Wobbuffet,Psychic,2,405,190,33,58,33,58,33
0203,Girafarig,Normal Psychic,2,455,70,80,65,90,65,85
0204,Pineco,Bug,2,290,50,65,90,35,35,15
0205,Forretress,Bug Steel,2,465,75,90,140,60,60,40
0206,Dunsparce,Normal,2,415,100,70,70,65,65,45
0207,Gligar,Ground Flying,2,430,65,75,105,35,65,85
0208,Steelix,Steel Ground,2,510,75,85,200,55,65,30
0208,Steelix Mega Steelix,Steel Ground,2,610,75,125,230,55,95,30
0209,Snubbull,Fairy,2,300,60,80,50,40,40,30
0210,Granbull,Fairy,2,450,90,120,75,60,60,45
0211,Qwilfish,Water Poison,2,440,65,95,85,55,55,85
0211,Qwilfish Hisuian Qwilfish,Dark Poison,2,440,65,95,85,55,55,85
0212,Scizor,Bug Steel,2,500,70,130,100,55,80,65
0212,Scizor Mega Scizor,Bug Steel,2,600,70,150,140,65,100,75
0213,Shuckle,Bug Rock,2,505,20,10,230,10,230,5
