Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0650,Chespin,Grass,6,313,56,61,65,48,45,38
0651,Quilladin,Grass,6,405,61,78,95,56,58,57
0652,Chesnaught,Grass Fighting,6,530,88,107,122,74,75,64
0653,Fennekin,Fire,6,307,40,45,40,62,60,60
0654,Braixen,Fire,6,409,59,59,58,90,70,73
0655,Delphox,Fire Psychic,6,534,75,69,72,114,100,104
0656,Froakie,Water,6,314,41,56,40,62,44,71
0657,Frogadier,Water,6,405,54,63,52,83,56,97
0658,Greninja,Water Dark,6,530,72,95,67,103,71,122
0658,Greninja Ash-Greninja,Water Dark,6,640,72,145,67,153,71,132
0659,Bunnelby,Normal,6,237,38,36,38,32,36,57
0660,Diggersby,Normal Ground,6,423,85,56,77,50,77,78
0661,Fletchling,Normal Flying,6,278,45,50,43,40,38,62
0662,Fletchinder,Fire Flying,6,382,62,73,55,56,52,84
0663,Talonflame,Fire Flying,6,499,78,81,71,74,69,126
0664,Scatterbug,Bug,6,200,38,35,40,27,25,35
0665,Spewpa,Bug,6,213,45,22,60,27,30,29
0666,Vivillon,Bug Flying,6,411,80,52,50,90,50,89
0667,Litleo,Fire Normal,6,369,62,50,58,73,54,72
0668,Pyroar,Fire Normal,6,507,86,68,72,109,66,106
0669,Flabébé,Fairy,6,303,44,38,39,61,79,42
0670,Floette,Fairy,6,371,54,45,47,75,98,52
0671,Florges,Fairy,6,552,78,65,68,112,154,75
0672,Skiddo,Grass,6,350,66,65,48,62,57,52
0673,Gogoat,Grass,6,531,123,100,62,97,81,68
0674,Pancham,Fighting,6,348,67,82,62,46,48,43
0675,Pangoro,Fighting Dark,6,495,95,124,78,69,71,58
0676,Furfrou,Normal,6,472,75,80,60,65,90,102
0677,Espurr,Psychic,6,355,62,48,54,63,60,68
0678,Meowstic Male,Psychic,6,466,74,48,76,83,81,104
0678,Meowstic Female,Psychic,6,466,74,48,76,83,81,104
0679,Honedge,Steel Ghost,6,325,45,80,100,35,37,28
0680,Doublade,Steel Ghost,6,448,59,110,150,45,49,35
0681,Aegislash Shield Forme,Steel Ghost,6,500,60,50,140,50,140,60
0681,Aegislash Blade Forme,Steel Ghost,6,500,60,140,50,140,50,60
0682,Spritzee,Fairy,6,341,78,52,60,63,65,23
0683,Aromatisse,Fairy,6,462,101,72,72,99,89,29
0684,Swirlix,Fairy,6,341,62,48,66,59,57,49
0685,Slurpuff,Fairy,6,480,82,80,86,85,75,72
0686,Inkay,Dark Psychic,6,288,53,54,53,37,46,45
0687,Malamar,Dark Psychic,6,482,86,92,88,68,75,73
0687,Malamar Mega Malamar,Dark Psychic,6,582,86,102,88,98,120,88
0688,Binacle,Rock Water,6,306,42,52,67,39,56,50
0689,Barbaracle,Rock Water,6,500,72,105,115,54,86,68
0690,Skrelp,Poison Water,6,320,50,60,60,60,60,30
0691,Dragalge,Poison Dragon,6,494,65,75,90,97,123,44
0692,Clauncher,Water,6,330,50,53,62,58,63,44
0693,Clawitzer,Water,6,500,71,73,88,120,89,59
0694,Helioptile,Electric Normal,6,289,44,38,33,61,43,70
0695,Heliolisk,Electric Normal,6,481,62,55,52,109,94,109
0696,Tyrunt,Rock Dragon,6,362,58,89,77,45,45,48
0697,Tyrantrum,Rock Dragon,6,521,82,121,119,69,59,71
0698,Amaura,Rock Ice,6,362,77,59,50,67,63,46
